4-gram,Frequency
never end never end,2324
end never end never,2298
made lying made lying,1806
lying made lying made,1750
quietits quietits quietits quietits,672
feijão puro feijão puro,381
puro feijão puro feijão,349
wiggle wiggle wiggle wiggle,288
please please please please,268
slowly hit tempo enough,167
hit tempo enough keep,166
pimpin rap slowly hit,165
rap slowly hit tempo,164
wan learn keep talkin,164
tempo enough keep bitches,163
dick make quick dick,163
make quick dick took,163
learn keep talkin shit,163
dick bitches suckin dick,162
bitches suckin dick make,162
suckin dick make quick,161
enough keep bitches tame,160
niggas wan learn keep,158
nigga dick bitches suckin,157
fallin pimpin rap slowly,150
pimp hoes fallin pimpin,147
hoes fallin pimpin rap,147
hoes niggas wan learn,139
bankroll hoes victim chose,123
yes yes yes yes,121
keep talkin shit want,97
talkin shit want treasure,97
keep bitches tame make,96
bitches tame make rain,96
quick dick took fortune,96
dick took fortune bankroll,96
took fortune bankroll hoes,96
tame make rain hop,95
make rain hop nigga,94
rain hop nigga dick,94
hop nigga dick bitches,94
fortune bankroll hoes victim,86
hoes victim chose memphis,82
victim chose memphis fuckin,81
boning hoes niggas wan,80
lying making lying making,79
whoa boning hoes niggas,78
making lying making lying,78
chose memphis fuckin killers,75
memphis fuckin killers whoa,75
fuckin killers whoa boning,75
killers whoa boning hoes,75
may best man win,67
keep bitches tame makin,64
bitches tame makin fame,64
feelin aint pimp hoes,64
keep talkin shit ill,63
talkin shit ill forced,63
shit ill forced trash,63
forced trash em may,62
trash em may best,62
em may best man,62
tame makin fame nigga,62
makin fame nigga dick,62
fame nigga dick bitches,62
milk inside bag milk,62
ill forced trash em,61
dick took foreign chick,61
took foreign chick bankroll,61
victim chose suckin til,61
quick dick took foreign,60
shit want treasure man,60
want treasure man feelin,60
treasure man feelin aint,60
bonin hoes niggas wan,59
aint pimp hoes fallin,58
bag milk inside bag,58
chose suckin til swole,57
suckin til swole bonin,57
inside bag milk inside,57
til swole bonin hoes,56
dont suckplease dont suckplease,56
suckplease dont suckplease dont,56
swole bonin hoes niggas,55
got motivated went gym,54
mark dancing elevator music,53
motivated went gym listening,52
went gym listening masterpiece,52
get excited reps nerves,51
excited reps nerves body,51
song playlist got motivated,50
playlist got motivated went,50
added song playlist got,49
gym listening masterpiece whole,49
listening masterpiece whole gym,49
masterpiece whole gym gym,49
including mats gym shoes,49
mats gym shoes gym,49
listens get excited reps,49
comments thoughts writing hands,49
