3-gram,Frequency
end never end,2430
never end never,2340
made lying made,1823
lying made lying,1812
quietits quietits quietits,673
cd projekt red,384
feijão puro feijão,382
puro feijão puro,381
wiggle wiggle wiggle,289
please please please,287
cd project red,193
made lying also,183
slowly hit tempo,169
wan learn keep,168
hit tempo enough,167
tempo enough keep,166
pimpin rap slowly,165
rap slowly hit,165
dick make quick,164
learn keep talkin,164
enough keep bitches,163
make quick dick,163
quick dick took,163
keep talkin shit,163
dick bitches suckin,162
bitches suckin dick,162
suckin dick make,162
keep bitches tame,160
niggas wan learn,160
nigga dick bitches,158
fallin pimpin rap,150
pimp hoes fallin,147
hoes fallin pimpin,147
ive made lying,143
broom closet ending,140
hoes niggas wan,139
made lying love,139
yes yes yes,137
made lying bucket,135
bankroll hoes victim,124
hoes victim chose,123
ive ever seen,118
made lying please,99
shit want treasure,98
talkin shit want,97
bitches tame make,96
tame make rain,96
dick took fortune,96
took fortune bankroll,96
fortune bankroll hoes,96
make rain hop,95
rain hop nigga,94
hop nigga dick,94
dancing elevator music,92
made lying mark,86
victim chose memphis,84
chose memphis fuckin,81
boning hoes niggas,80
whoa boning hoes,79
lying making lying,79
making lying making,79
memphis fuckin killers,75
fuckin killers whoa,75
killers whoa boning,75
little potato man,70
mark dancing elevator,69
cant wait see,69
may best man,68
best man win,67
bitches tame makin,65
tame makin fame,65
victim chose suckin,65
detroit become human,65
ill forced trash,64
feelin aint pimp,64
aint pimp hoes,64
milk inside bag,64
inside bag milk,64
talkin shit ill,63
shit ill forced,63
forced trash em,62
trash em may,62
em may best,62
makin fame nigga,62
fame nigga dick,62
took foreign chick,62
foreign chick bankroll,62
would love see,62
dick took foreign,61
chose suckin til,61
people beat driving,60
want treasure man,60
treasure man feelin,60
man feelin aint,60
swole bonin hoes,59
bonin hoes niggas,59
bag milk inside,58
dont suckplease dont,58
suckin til swole,57
til swole bonin,57
